name,min_price,max_price,headers,related_links,total_characteristics,char_Przekątna,char_Rozdzielczość,char_Matryca,char_Częstotliwość,char_Kontrast,char_Jasność,char_Złącza
NEC MultiSync C750Q,12513.0,,NEC,monitor LCD; 4K; HDR; TÜV Rheinland; głośniki,7,"75 """,3840x2160 (16:9),"IPS, czas reakcji 8 ms",60 Hz,1 200:1,350 cd/m²,"HDMI, DisplayPort, LAN"
Asus TUF Gaming VG279Q1R,836.0,1749.0,Asus,TUF; gamingowy; TÜV Rheinland; Adaptive-Sync; FreeSync; głośniki; dobry sRGB,7,"27 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms, MPRT 1 ms",144 Hz,1 000:1,250 cd/m²,"HDMI, DisplayPort"
NEC UN552V,13151.0,17853.0,NEC,ściana wizyjna; głośniki; czytnik kart pamięci,7,"55 """,1920x1080 (16:9),"S-IPS, czas reakcji 8 ms",60 Hz,1 700:1,500 cd/m²,"VGA, DVI-D, HDMI, DisplayPort, LAN"
HP 740pm,6022.0,8170.0,HP,2024 rok; 4K; 5K; Power Delivery; zakrzywiony; głośniki; kamera internetowa; dobry sRGB; dobry DCI-P3,7,"39.7 """,5120x2160 (21:9),"IPS, czas reakcji 5 ms",60 Hz,1 000:1,300 cd/m²,"HDMI, DisplayPort, USB C (wideo), LAN"
Asus TUF Gaming VG27AQM5A,1370.0,1740.0,Asus,2025 rok; TUF; gamingowy; HDMI 2.1; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; głośniki,7,"27 """,2560x1440 (16:9),"IPS, czas reakcji 1 ms",300 Hz,1 300:1,300 cd/m²,"HDMI, DisplayPort"
Dell Pro Plus P2425,688.0,1012.0,Dell,2024 rok; Series P; USB C hub; TÜV Rheinland,7,"24.1 """,1920x1200 (16:10),"IPS, czas reakcji 8 ms",100 Hz,1 500:1,300 cd/m²,"VGA, HDMI, DisplayPort"
Iiyama ProLite TW3226AS-B3P,3225.0,,Iiyama,2025 rok; informacyjny; dotykowy; głośniki; Bluetooth; Wi-Fi,7,"31.5 """,1920x1080 (16:9),"*VA, czas reakcji 8 ms",60 Hz,4 000:1,430 cd/m²,"HDMI, LAN"
Eizo FlexScan EV2456,1728.0,2299.0,Eizo,FlexScan (profesjonalne); głośniki,7,"24 """,1920x1200 (16:10),"IPS, czas reakcji 5 ms",60 Hz,1 000:1,350 cd/m²,"HDMI, DisplayPort"
Acer Nitro XV345CURV3bmiphuzx,1442.0,1712.0,Acer,2024 rok; Nitro; gamingowy; Power Delivery; zakrzywiony; HDR; FreeSync; głośniki,6,"34 """,3440x1440 (21:9),"*VA, czas reakcji 1 ms",180 Hz,,300 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
Lenovo ThinkVision E24-40,530.0,687.0,Lenovo,2025 rok; TÜV Rheinland; głośniki,7,"23.8 """,1920x1080 (16:9),"IPS, czas reakcji 6 ms",100 Hz,1 300:1,250 cd/m²,"VGA, HDMI, DisplayPort"
Port Designs 902101,705.0,760.0,Port Designs,2025 rok; przenośny; Power Delivery; HDR; FreeSync; głośniki,5,"15.6 """,1920x1080 (16:9),IPS,60 Hz,,,"HDMI, USB C (wideo)"
Iiyama G-Master G2770QSU-B1,713.0,1878.0,Iiyama,G-Master (gamingowe); HDR; TÜV Rheinland; FreeSync; głośniki,7,"27 """,2560x1440 (16:9),"IPS, MPRT 0.5 ms",165 Hz,1 000:1,400 cd/m²,"HDMI, DisplayPort"
MSI MPG 271QRX QD-OLED,2999.0,4987.0,MSI,2024 rok; gamingowy; QD-OLED; HDMI 2.1; Power Delivery; HDR; TÜV Rheinland; Adaptive-Sync; KVM; dobry sRGB; dobry DCI-P3,7,"26.5 """,2560x1440 (16:9),"QD-OLED, czas reakcji 0.03 ms",360 Hz,1 500 000:1,250 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
Asus ROG Swift OLED PG32UCDMR,6362.0,7157.0,Asus,2025 rok; ROG Swift; gamingowy; 4K; QD-OLED; HDMI 2.1; Power Delivery; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; KVM; dobry DCI-P3,6,"31.5 """,3840x2160 (16:9),"QD-OLED, czas reakcji 0.03 ms",240 Hz,1 500 000:1,,"HDMI, DisplayPort, USB C (wideo)"
Samsung OM46D-W,11399.0,15709.0,Samsung,Panele LCD; monitor LCD; głośniki,7,"46 """,1920x1080 (16:9),"*VA, czas reakcji 6 ms",75 Hz,5 000:1,2500 cd/m²,"VGA, DVI-D, HDMI, DisplayPort, LAN"
Sharp PN-R556,15500.0,,Sharp,monitor LCD; głośniki,7,"55 """,1920x1080 (16:9),czas reakcji 8 ms,60 Hz,1 300:1,700 cd/m²,"VGA, DVI-D, HDMI, DisplayPort, LAN"
AOC 22P2Q,767.0,787.0,AOC,Professional (profesjonalne); głośniki; dobry sRGB,7,"22 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms",75 Hz,1 000:1,250 cd/m²,"VGA, DVI-D, HDMI, DisplayPort"
Dell Pro Plus P5525QC,4126.0,4577.0,Dell,2025 rok; Series P; monitor LCD; 4K; USB C hub; Power Delivery; TÜV Rheinland; głośniki,7,"54.6 """,3840x2160 (16:9),"IPS, czas reakcji 8 ms",60 Hz,1 200:1,400 cd/m²,"HDMI, DisplayPort, USB C (wideo), LAN"
UPERFECT UPi B7,643.0,743.0,UPERFECT,2024 rok; przenośny; dotykowy; głośniki,7,"10.1 """,1920x1200 (16:10),"IPS, czas reakcji 25 ms",60 Hz,800:1,370 cd/m²,"HDMI, USB C (wideo)"
Acer R242YEymix,407.0,562.0,Acer,2025 rok; głośniki,7,"23.8 """,1920x1080 (16:9),"IPS, MPRT 1 ms",100 Hz,1 000:1,250 cd/m²,"VGA, HDMI"
Asus TUF Gaming VG28UQL1A,3449.0,,Asus,TUF; gamingowy; 4K; HDMI 2.1; HDR; TÜV Rheinland; FreeSync; głośniki,7,"28 """,3840x2160 (16:9),"IPS, czas reakcji 1 ms",144 Hz,1 000:1,300 cd/m²,"HDMI, DisplayPort"
Iiyama ProLite T1521MSC-B2,1403.0,1684.0,Iiyama,2024 rok; dotykowy; głośniki,7,"15 """,1024x768 (4:3),TN+film,75 Hz,800:1,325 cd/m²,"VGA, HDMI"
Samsung F24T450FZ,693.0,770.0,Samsung,FreeSync; głośniki,7,"24 """,1920x1080 (16:9),"IPS, czas reakcji 5 ms",75 Hz,1 000:1,250 cd/m²,"HDMI, DisplayPort"
Asus PA24AC,1344.0,,Asus,HDR; głośniki; dobry sRGB,7,"24 """,1920x1200 (16:10),"IPS, czas reakcji 5 ms",60 Hz,1 000:1,350 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
